股票代码,股票名称,缓存行数,最早交易日,最后交易日,日期已最新,统一深缓存就绪,需要异常补抓
300515,三德科技,250,2025-08-22,2026-09-02,False,True,True
300530,领湃科技,120,2026-03-17,2026-09-07,True,False,False
300538,同益股份,120,2026-03-13,2026-09-03,False,False,True
300562,乐心医疗,25,2026-07-30,2026-09-02,False,False,True
300570,太辰光,120,2026-03-17,2026-09-07,True,False,False
300598,诚迈科技,120,2026-03-17,2026-09-07,True,False,False
300605,恒锋信息,25,2026-07-30,2026-09-02,False,False,True
300613,富瀚微,120,2026-03-17,2026-09-07,True,False,False
300620,光库科技,25,2026-07-30,2026-09-02,False,False,True
300642,透景生命,25,2026-07-31,2026-09-03,False,False,True
300672,国科微,120,2026-03-17,2026-09-07,True,False,False
300679,电连技术,25,2026-07-30,2026-09-02,False,False,True
300684,中石科技,25,2026-08-04,2026-09-07,True,False,False
300686,智动力,120,2026-03-13,2026-09-03,False,False,True
300688,创业黑马,25,2026-07-30,2026-09-02,False,False,True
300711,广哈通信,120,2026-03-13,2026-09-03,False,False,True
300765,石药创新,120,2026-03-13,2026-09-03,False,False,True
300789,唐源电气,25,2026-07-30,2026-09-02,False,False,True
300798,锦鸡股份,25,2026-07-30,2026-09-02,False,False,True
300802,矩子科技,25,2026-07-30,2026-09-02,False,False,True
300805,电声股份,120,2026-03-17,2026-09-07,True,False,False
300830,金现代,25,2026-07-31,2026-09-03,False,False,True
300839,博汇股份,250,2025-08-27,2026-09-07,True,True,False
300841,康华生物,25,2026-07-30,2026-09-02,False,False,True
300846,首都在线,25,2026-07-30,2026-09-02,False,False,True
300864,南大环境,25,2026-07-30,2026-09-02,False,False,True
300894,火星人,25,2026-07-30,2026-09-02,False,False,True
300897,山科智能,120,2026-03-13,2026-09-03,False,False,True
300903,科翔股份,25,2026-07-30,2026-09-02,False,False,True
300911,亿田智能,25,2026-07-30,2026-09-02,False,False,True
300922,天秦装备,120,2026-03-17,2026-09-07,True,False,False
300929,华骐环保,120,2026-03-17,2026-09-07,True,False,False
300961,深水海纳,25,2026-08-04,2026-09-07,True,False,False
300970,华绿生物,25,2026-07-30,2026-09-02,False,False,True
300981,中红医疗,120,2026-03-17,2026-09-07,True,False,False
300985,致远新能,25,2026-07-30,2026-09-02,False,False,True
300990,同飞股份,25,2026-07-30,2026-09-02,False,False,True
301018,申菱环境,120,2026-03-17,2026-09-07,True,False,False
301026,浩通科技,25,2026-07-30,2026-09-02,False,False,True
301045,天禄科技,25,2026-07-30,2026-09-02,False,False,True
301060,兰卫医学,25,2026-07-30,2026-09-02,False,False,True
301085,亚康股份,25,2026-07-30,2026-09-02,False,False,True
301086,鸿富瀚,25,2026-08-04,2026-09-07,True,False,False
301106,骏成科技,25,2026-07-30,2026-09-02,False,False,True
301123,奕东电子,120,2026-03-17,2026-09-07,True,False,False
301127,武汉天源,25,2026-07-30,2026-09-02,False,False,True
301129,瑞纳智能,120,2026-03-13,2026-09-03,False,False,True
301151,冠龙节能,25,2026-07-30,2026-09-02,False,False,True
301152,天力锂能,120,2026-03-17,2026-09-07,True,False,False
301158,德石股份,120,2026-03-17,2026-09-07,True,False,False
301165,锐捷网络,25,2026-07-30,2026-09-02,False,False,True
301171,易点天下,25,2026-07-30,2026-09-02,False,False,True
301177,迪阿股份,120,2026-03-17,2026-09-07,True,False,False
301182,凯旺科技,25,2026-07-30,2026-09-02,False,False,True
301183,东田微,120,2026-03-17,2026-09-07,True,False,False
301190,善水科技,120,2026-03-13,2026-09-03,False,False,True
301205,联特科技,25,2026-07-30,2026-09-02,False,False,True
301211,亨迪药业,25,2026-07-30,2026-09-02,False,False,True
