股票代码,股票名称,首次进入日期,最近提交日期,提交次数,当前状态,淘汰日期,淘汰原因
002779,中坚科技,2026-09-02,2026-09-02,1,活跃,,
002796,世嘉科技,2026-09-02,2026-09-02,1,活跃,,
002811,郑中设计,2026-09-02,2026-09-02,1,活跃,,
002827,高争民爆,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002828,贝肯能源,2026-09-02,2026-09-02,1,活跃,,
002829,星网宇达,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002837,英维克,2026-09-02,2026-09-02,1,活跃,,
002846,英联股份,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002851,麦格米特,2026-09-02,2026-09-02,1,活跃,,
002855,捷荣技术,2026-09-03,2026-09-03,1,活跃,,
002859,洁美科技,2026-09-02,2026-09-02,1,活跃,,
002870,香山股份,2026-09-02,2026-09-02,1,活跃,,
002880,卫光生物,2026-09-02,2026-09-02,1,一级活跃,,
002882,金龙羽,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002886,沃特股份,2026-09-02,2026-09-03,2,活跃,,
002902,铭普光磁,2026-09-02,2026-09-02,1,一级活跃,,
002907,华森制药,2026-09-02,2026-09-02,1,活跃,,
002908,德生科技,2026-09-02,2026-09-02,1,活跃,,
002909,集泰股份,2026-09-02,2026-09-03,2,活跃,,
002913,奥士康,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002915,中欣氟材,2026-09-02,2026-09-02,1,一级活跃,,
002916,深南电路,2026-09-02,2026-09-02,1,活跃,,
002918,蒙娜丽莎,2026-09-02,2026-09-02,1,活跃,,
002929,润建股份,2026-09-02,2026-09-02,1,活跃,,
002931,锋龙股份,2026-09-02,2026-09-02,1,活跃,,
002938,鹏鼎控股,2026-09-02,2026-09-02,1,活跃,,
002942,新农股份,2026-09-02,2026-09-02,1,活跃,,
002947,恒铭达,2026-09-02,2026-09-02,1,活跃,,
002949,华阳国际,2026-09-02,2026-09-02,1,活跃,,
002951,金时科技,2026-09-02,2026-09-02,1,活跃,,
002953,日丰股份,2026-09-02,2026-09-02,1,一级活跃,,
002957,科瑞技术,2026-09-02,2026-09-02,1,活跃,,
002963,豪尔赛,2026-09-02,2026-09-02,1,活跃,,
002971,和远气体,2026-09-02,2026-09-02,1,活跃,,
002973,侨银股份,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002975,博杰股份,2026-09-02,2026-09-02,1,活跃,,
002980,华盛昌,2026-09-02,2026-09-02,1,一级活跃,,
002989,中天精装,2026-09-02,2026-09-02,1,活跃,,
003005,竞业达,2026-09-02,2026-09-03,2,活跃,,
003018,金富科技,2026-09-02,2026-09-03,2,活跃,,
003031,中瓷电子,2026-09-02,2026-09-02,1,活跃,,
003040,楚天龙,2026-09-03,2026-09-03,1,活跃,,
300017,网宿科技,2026-09-02,2026-09-02,1,一级活跃,,
300051,琏升科技,2026-09-02,2026-09-02,1,活跃,,
300063,天龙集团,2026-09-02,2026-09-02,1,活跃,,
300120,经纬辉开,2026-09-02,2026-09-02,1,活跃,,
300122,智飞生物,2026-09-02,2026-09-02,1,活跃,,
300134,大富科技,2026-09-02,2026-09-02,1,一级活跃,,
300139,晓程科技,2026-09-02,2026-09-02,1,一级活跃,,
300142,沃森生物,2026-09-02,2026-09-02,1,活跃,,
300169,天晟新材,2026-09-02,2026-09-02,1,一级活跃,,
300189,神农种业,2026-09-02,2026-09-02,1,活跃,,
300197,节能铁汉,2026-09-02,2026-09-02,1,活跃,,
300209,有棵树,2026-09-02,2026-09-02,1,活跃,,
300214,日科化学,2026-09-02,2026-09-02,1,活跃,,
300243,瑞丰高材,2026-09-02,2026-09-02,1,活跃,,
300270,中威电子,2026-09-02,2026-09-02,1,活跃,,
300287,飞利信,2026-09-02,2026-09-02,1,活跃,,
300305,裕兴股份,2026-09-02,2026-09-02,1,一级活跃,,
300319,麦捷科技,2026-09-02,2026-09-02,1,活跃,,
300333,兆日科技,2026-09-02,2026-09-02,1,活跃,,
300345,华民股份,2026-09-02,2026-09-02,1,活跃,,
300359,全通教育,2026-09-02,2026-09-02,1,活跃,,
300363,博腾股份,2026-09-02,2026-09-02,1,活跃,,
300364,中文在线,2026-09-02,2026-09-02,1,活跃,,
300369,绿盟科技,2026-09-02,2026-09-02,1,活跃,,
300378,鼎捷数智,2026-09-02,2026-09-03,2,活跃,,
300386,飞天诚信,2026-09-02,2026-09-02,1,一级活跃,,
300394,天孚通信,2026-09-02,2026-09-02,1,活跃,,
300413,芒果超媒,2026-09-03,2026-09-03,1,活跃,,
300456,赛微电子,2026-09-02,2026-09-02,1,活跃,,
300476,胜宏科技,2026-09-02,2026-09-02,1,活跃,,
300480,光力科技,2026-09-02,2026-09-02,1,活跃,,
300508,维宏股份,2026-09-02,2026-09-02,1,活跃,,
300515,三德科技,2026-09-02,2026-09-02,1,一级活跃,,
300530,领湃科技,2026-09-02,2026-09-02,1,活跃,,
300538,同益股份,2026-09-02,2026-09-02,1,一级活跃,,
300562,乐心医疗,2026-09-02,2026-09-02,1,活跃,,
300570,太辰光,2026-09-02,2026-09-02,1,活跃,,
